Educacion,AñoIngreso,Ciudad,NivelPago,Edad,Genero,AlgunaVezEnLaBanca,ExpDominioActual,SalirONo
Bachiller,2017,Bangalore,3,34,Masculino,No,0,No
Bachiller,2013,Pune,1,28,Femenino,No,3,Si
Bachiller,2014,New Delhi,3,38,Femenino,No,2,No
Maestria,2016,Bangalore,3,27,Masculino,No,5,Si
Maestria,2017,Pune,3,24,Masculino,Si,2,Si
Bachiller,2016,Bangalore,3,22,Masculino,No,0,No
Bachiller,2015,New Delhi,3,38,Masculino,No,0,No
Bachiller,2016,Bangalore,3,34,Femenino,No,2,Si
Bachiller,2016,Pune,3,23,Masculino,No,1,No
Maestria,2017,New Delhi,2,37,Masculino,No,2,No
Maestria,2012,Bangalore,3,27,Masculino,No,5,Si
Bachiller,2016,Pune,3,34,Masculino,No,3,No
Bachiller,2018,Pune,3,32,Masculino,Si,5,Si
Bachiller,2016,Bangalore,3,39,Masculino,No,2,No
Bachiller,2012,Bangalore,3,37,Masculino,No,4,No
Bachiller,2017,Bangalore,1,29,Masculino,No,3,No
Bachiller,2014,Bangalore,3,34,Femenino,No,2,No
Bachiller,2014,Pune,3,34,Masculino,No,4,No
Bachiller,2015,Pune,2,30,Femenino,No,0,Si
Bachiller,2016,New Delhi,2,22,Femenino,No,0,Si
Bachiller,2012,Bangalore,3,37,Masculino,No,0,No
Maestria,2017,New Delhi,2,28,Masculino,No,4,No
Bachiller,2017,New Delhi,2,36,Masculino,No,3,No
Bachiller,2015,Bangalore,3,27,Masculino,Si,5,No
Bachiller,2017,Bangalore,3,29,Masculino,No,4,No
Bachiller,2013,Bangalore,3,22,Femenino,Si,0,No
Bachiller,2016,Bangalore,3,37,Masculino,No,2,No
Bachiller,2015,Bangalore,3,23,Masculino,No,1,No
Bachiller,2013,Pune,2,31,Femenino,No,2,Si
Maestria,2017,New Delhi,2,30,Femenino,No,2,No
PHD,2013,New Delhi,3,25,Masculino,No,3,No
Bachiller,2014,Bangalore,3,23,Masculino,No,1,No
Bachiller,2018,Bangalore,3,26,Masculino,No,4,Si
Bachiller,2016,Bangalore,3,40,Masculino,No,5,No
Bachiller,2017,Pune,2,37,Femenino,No,0,Si
Bachiller,2014,Bangalore,1,30,Femenino,No,3,No
Bachiller,2012,New Delhi,3,29,Masculino,No,3,No
Bachiller,2018,New Delhi,2,34,Femenino,No,0,Si
Bachiller,2017,Pune,2,29,Femenino,No,2,Si
Bachiller,2014,Pune,3,30,Masculino,Si,4,No
Bachiller,2015,Bangalore,3,36,Masculino,No,1,No
Maestria,2017,New Delhi,2,23,Masculino,No,1,No
Bachiller,2013,Bangalore,3,30,Masculino,No,3,Si
Bachiller,2014,Bangalore,3,36,Masculino,No,0,No
Bachiller,2015,Pune,3,39,Masculino,No,4,No
Bachiller,2014,Bangalore,3,23,Femenino,No,1,No
PHD,2012,New Delhi,3,27,Masculino,No,5,No
Maestria,2013,New Delhi,3,35,Masculino,No,2,No
Maestria,2017,New Delhi,2,34,Masculino,No,0,No
Bachiller,2013,Bangalore,3,30,Femenino,No,1,No
PHD,2017,New Delhi,3,34,Masculino,No,2,No
Bachiller,2015,Pune,2,26,Femenino,No,4,Si
Bachiller,2016,Bangalore,3,34,Femenino,No,0,No
Bachiller,2014,Bangalore,3,31,Femenino,Si,5,No
Bachiller,2017,New Delhi,3,31,Femenino,Si,5,No
PHD,2013,New Delhi,3,28,Masculino,No,2,No
Bachiller,2016,Bangalore,3,38,Masculino,No,2,No
Maestria,2014,Pune,3,39,Femenino,No,2,No
Bachiller,2013,Pune,3,32,Masculino,No,4,No
Maestria,2017,Pune,2,36,Masculino,No,2,Si
Maestria,2013,New Delhi,3,29,Masculino,No,3,No
Bachiller,2015,Bangalore,3,30,Masculino,No,5,No
PHD,2013,Bangalore,2,25,Masculino,No,3,Si
Bachiller,2014,Pune,1,22,Femenino,No,0,Si
Bachiller,2016,Bangalore,3,34,Masculino,No,4,No
Bachiller,2018,Bangalore,3,40,Masculino,No,1,Si
PHD,2013,Bangalore,3,26,Masculino,No,4,No
Bachiller,2014,New Delhi,3,28,Masculino,No,0,No
Bachiller,2015,Bangalore,3,24,Femenino,No,2,No
Maestria,2017,Bangalore,3,40,Femenino,No,2,Si
Bachiller,2018,Bangalore,3,23,Femenino,No,1,Si
Maestria,2017,Bangalore,3,31,Masculino,No,4,No
Bachiller,2014,Pune,3,25,Femenino,No,3,No
Bachiller,2014,Bangalore,1,27,Masculino,No,5,No
Maestria,2017,New Delhi,2,25,Femenino,No,3,Si
Bachiller,2015,Bangalore,3,40,Masculino,No,0,Si
Bachiller,2014,Bangalore,1,23,Femenino,No,1,No
Bachiller,2017,Bangalore,3,23,Femenino,No,1,No
Bachiller,2012,Bangalore,3,39,Masculino,No,1,No
PHD,2015,New Delhi,1,37,Masculino,No,1,No
Bachiller,2017,Pune,3,38,Masculino,No,2,No
Bachiller,2013,Bangalore,3,31,Femenino,No,0,Si
Bachiller,2016,Bangalore,3,38,Masculino,No,5,No
Bachiller,2017,Bangalore,3,25,Femenino,No,3,No
Bachiller,2015,Bangalore,3,27,Femenino,Si,5,Si
Bachiller,2016,Pune,2,36,Masculino,No,0,Si
Bachiller,2017,Pune,2,27,Femenino,No,5,Si
Maestria,2015,Pune,2,32,Femenino,No,4,No
Bachiller,2014,Bangalore,3,28,Masculino,No,4,No
Maestria,2012,New Delhi,3,32,Masculino,No,2,No
Bachiller,2018,Bangalore,3,30,Masculino,No,0,Si
Bachiller,2015,New Delhi,3,22,Masculino,No,0,No
Bachiller,2017,New Delhi,2,34,Femenino,No,5,No
Maestria,2013,New Delhi,3,36,Masculino,No,2,No
Bachiller,2014,Bangalore,3,39,Masculino,No,3,Si
PHD,2018,Bangalore,3,26,Masculino,No,4,Si
Bachiller,2016,Bangalore,3,31,Femenino,No,0,No
Bachiller,2014,Bangalore,3,27,Masculino,No,5,Si
Bachiller,2014,Bangalore,3,29,Femenino,No,0,No
Bachiller,2015,Bangalore,3,24,Femenino,No,2,Si
Maestria,2012,Pune,3,25,Masculino,No,3,Si
Bachiller,2013,Pune,3,25,Masculino,No,3,No
Maestria,2017,New Delhi,3,26,Femenino,No,4,Si
Bachiller,2015,Pune,2,28,Femenino,Si,1,Si
Bachiller,2017,New Delhi,3,28,Masculino,No,2,No
Maestria,2015,Pune,1,28,Femenino,No,3,Si
Maestria,2015,New Delhi,3,25,Masculino,No,3,No
Bachiller,2017,Bangalore,3,28,Masculino,No,1,No
Maestria,2013,Pune,3,25,Masculino,No,3,No
Bachiller,2015,Bangalore,2,25,Femenino,No,3,Si
Bachiller,2015,Bangalore,3,27,Femenino,No,5,No
Bachiller,2017,Pune,2,27,Femenino,No,5,Si
Bachiller,2013,Bangalore,3,27,Masculino,No,5,Si
Bachiller,2012,Bangalore,3,25,Masculino,No,3,No
Maestria,2017,New Delhi,2,28,Masculino,No,2,No
Bachiller,2014,Pune,1,26,Femenino,No,4,Si
Bachiller,2015,Bangalore,3,28,Masculino,No,2,No
Maestria,2013,New Delhi,3,26,Masculino,No,4,No
Bachiller,2017,Bangalore,3,26,Femenino,No,4,No
Bachiller,2017,New Delhi,2,25,Masculino,No,3,No
Bachiller,2012,Bangalore,1,28,Femenino,No,3,No
PHD,2015,New Delhi,3,26,Masculino,No,4,No
Bachiller,2015,New Delhi,3,25,Femenino,No,3,No
Bachiller,2012,Bangalore,3,26,Masculino,No,4,Si
Bachiller,2014,Bangalore,3,28,Femenino,No,3,No
Maestria,2014,Pune,3,24,Masculino,No,2,No
Bachiller,2013,Bangalore,3,28,Masculino,No,1,No
Bachiller,2015,Pune,3,27,Masculino,No,5,No
Bachiller,2018,Bangalore,3,25,Masculino,No,3,Si
Maestria,2013,Pune,1,24,Masculino,No,2,Si
Bachiller,2017,Bangalore,3,26,Femenino,No,4,No
Bachiller,2013,Bangalore,3,28,Masculino,No,1,Si
Maestria,2016,New Delhi,3,27,Masculino,No,5,No
Maestria,2017,Bangalore,3,26,Masculino,No,4,No
Maestria,2017,New Delhi,2,24,Masculino,No,2,No
Maestria,2018,New Delhi,3,26,Masculino,No,4,Si
Maestria,2017,New Delhi,1,25,Femenino,No,3,Si
Bachiller,2012,Pune,3,28,Masculino,No,2,No
Bachiller,2017,New Delhi,3,28,Masculino,No,2,No
Bachiller,2013,Bangalore,3,26,Masculino,No,4,No
Maestria,2013,New Delhi,3,27,Masculino,No,5,Si
Bachiller,2017,Pune,2,24,Femenino,No,2,Si
Bachiller,2017,New Delhi,3,28,Femenino,No,2,No
Bachiller,2016,Bangalore,3,26,Masculino,No,4,No
Bachiller,2013,Bangalore,3,27,Femenino,No,5,No
Maestria,2015,Pune,2,28,Femenino,No,3,No
Bachiller,2014,Bangalore,3,25,Masculino,No,3,No
Bachiller,2016,Pune,3,28,Masculino,No,1,No
Maestria,2013,Bangalore,1,25,Masculino,No,3,Si
Bachiller,2015,Pune,3,26,Masculino,No,4,No
Bachiller,2018,New Delhi,3,27,Femenino,No,5,Si
Bachiller,2016,Bangalore,3,24,Masculino,No,2,Si
Bachiller,2012,Pune,2,24,Femenino,No,2,Si
Bachiller,2014,Bangalore,3,26,Masculino,No,4,No
Bachiller,2016,Pune,2,24,Femenino,No,2,Si
Maestria,2012,New Delhi,3,26,Femenino,No,4,No
Bachiller,2013,Bangalore,3,28,Femenino,No,3,No
Bachiller,2012,Bangalore,3,24,Masculino,No,2,Si
Bachiller,2015,Bangalore,3,25,Masculino,No,3,Si
Bachiller,2016,Bangalore,3,28,Masculino,No,3,No
Bachiller,2014,Bangalore,3,28,Femenino,No,3,No
Bachiller,2013,Bangalore,3,26,Femenino,No,4,No
Maestria,2017,New Delhi,3,24,Femenino,No,2,Si
Bachiller,2016,Bangalore,3,25,Masculino,No,3,Si
Bachiller,2015,Bangalore,3,25,Masculino,No,3,No
Bachiller,2014,Bangalore,3,27,Masculino,No,5,No
Bachiller,2012,Bangalore,3,24,Masculino,No,2,No
Bachiller,2014,Bangalore,3,25,Masculino,No,3,No
Bachiller,2015,Bangalore,3,28,Masculino,No,3,No
Maestria,2015,New Delhi,3,26,Masculino,No,4,Si
Bachiller,2014,New Delhi,3,28,Femenino,No,1,No
Bachiller,2015,Pune,3,25,Masculino,No,3,No
Maestria,2015,Pune,2,28,Femenino,No,2,No
Bachiller,2014,Bangalore,3,27,Femenino,No,5,No
Bachiller,2013,Bangalore,3,26,Masculino,No,4,No
Bachiller,2016,Bangalore,3,26,Masculino,No,4,No
Bachiller,2012,Bangalore,3,25,Masculino,No,3,No
Bachiller,2015,Bangalore,3,25,Masculino,No,3,No
Bachiller,2014,New Delhi,3,24,Femenino,No,2,No
Bachiller,2012,Bangalore,3,27,Masculino,No,5,Si
Maestria,2017,New Delhi,3,27,Masculino,No,5,Si
Bachiller,2015,Pune,3,27,Masculino,No,5,No
Bachiller,2018,Bangalore,3,24,Masculino,No,2,Si
Maestria,2017,New Delhi,3,27,Masculino,No,5,Si
Maestria,2017,New Delhi,2,28,Femenino,No,1,Si
Maestria,2017,Pune,2,24,Masculino,No,2,Si
Maestria,2016,New Delhi,3,25,Femenino,No,3,Si
PHD,2015,New Delhi,3,28,Femenino,No,1,No
Bachiller,2017,New Delhi,2,26,Masculino,No,4,No
Bachiller,2013,Bangalore,2,27,Masculino,No,5,No
Bachiller,2015,Bangalore,3,26,Masculino,No,4,No
Bachiller,2015,Bangalore,3,26,Masculino,No,4,No
Bachiller,2013,Bangalore,3,28,Masculino,No,1,No
Bachiller,2015,Bangalore,3,27,Femenino,No,5,No
Bachiller,2013,New Delhi,3,25,Femenino,No,3,No
Bachiller,2013,Pune,3,28,Masculino,No,1,No
Bachiller,2017,Pune,3,24,Masculino,No,2,No
Bachiller,2013,New Delhi,3,27,Femenino,No,5,No
Bachiller,2015,Bangalore,3,28,Masculino,Si,2,No
